编号,名字,性别,字号,年龄,正史,籍贯,父亲,母亲,兄弟,配偶,孩子,官职,主效,效力,总年数,年代列表,总章节,章节列表,历史,小说,头像,链接,效力数,配偶数
254,关平,男,關平,？-219,史实人物,司隶河东郡解(山西运城市临猗县西南),关羽,未知,关兴|关索|关氏|关银屏,未知,未知,暂无相关记载,蜀,蜀,11,公元200年|公元201年|公元202年|公元208年|公元210年|公元211年|公元212年|公元213年|公元214年|公元215年|公元219年,17,第28回|第31回|第39回|第49回|第57回|第60回|第62回|第63回|第65回|第66回|第73回|第74回|第75回|第76回|第77回|第78回|第79回,关羽长子。曹公遣徐晃救曹仁，羽不能克樊城，引军退还。权已据江陵，尽虏羽士众妻子，羽军遂散。权遣将逆击羽，斩羽及子平于临沮。,关羽义子。原关定次子、关宁之弟，自幼学武。跟随关羽南征北战，屡立功劳，多与刘封搭档。曾与庞德大战三十合，不分胜负。关羽败走麦城之际，关平跟随，一同被捕，遭孙权杀害，父子归神。,http://www.e3ol.com/biography/pic/id/240/254.jpg,http://www.e3ol.com/biography/html/关平/,1,0
4054,孙奕,男,孫奕,？-？,史实人物,扬州吴郡富春(浙江杭州市富阳),孙韶,未知,孙异|孙恢|孙楷|孙越,未知,未知,暂无相关记载,吴,吴,0,未知,0,未知,孙韶之子。韶死，孙奕被任命为宗正卿。,未知,http://www.e3ol.com/biography/pic/id/240/4054.jpg,http://www.e3ol.com/biography/html/孙奕/,1,0
596,王忠[魏],男,王忠,？-？,史实人物,司隶扶风(陕西咸阳市兴平市东南南佐村),未知,未知,未知,未知,未知,中郎将,魏,魏,1,公元199年,2,第22回|第23回,少为亭长。在关中乱时，他因饥饿以人为食，南往武关逃难；率死党袭击了为刘表招纳人士的娄子伯，得兵千人，投奔了曹操。每从征伐，五官将用冢间骷髅悬忠马鞍，以为欢笑。后与刘岱攻沛，没攻下。,与刘岱共同防守徐州的刘备，但被关羽擒获。放走后，在许昌将要被曹操下令处死时，多亏孔融求情才被饶了性命。,http://www.e3ol.com/biography/pic/id/240/596.jpg,http://www.e3ol.com/biography/html/王忠[魏]/,1,0
4389,乌伦,男,烏倫,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,少数民族,少数民族,0,未知,0,未知,鲜卑首领。鲜卑入侵边境，汉遣度辽将军邓遵等出塞追击，破之，鲜卑大人乌伦降汉，被封为王。,未知,http://www.e3ol.com/biography/pic/id/240/4389.jpg,http://www.e3ol.com/biography/html/乌伦/,1,0
4091,唐蹏,男,唐蹏,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,少数民族,少数民族,0,未知,0,未知,三国时魏陇西羌族首领。太和二年（228）为魏将郭淮讨破。,未知,http://www.e3ol.com/biography/pic/id/240/4091.jpg,http://www.e3ol.com/biography/html/唐蹏/,1,0
3210,刘琳,男,劉林,？-？,史实人物,冀州赵国邯郸(河北邯郸市),刘劭,未知,未知,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,刘劭子。齐王芳正始（240-249）中，其父卒。嗣为关内侯。,未知,http://www.e3ol.com/biography/pic/id/240/3210.jpg,http://www.e3ol.com/biography/html/刘琳/,1,0
4183,王宏,男,正宗,？-284,史实人物,兖州山阳郡(山东济宁市金乡县西北二十公里),王业[魏],未知,未知,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,王业之子，王弼之兄。魏时辟公府，迁尚书郎，历给事中。晋武帝泰始初，为汲郡太守，有治绩。后迁卫尉、河南尹、大司农。太康中，代刘毅为司隶校尉。五年（284）卒，追赠太常。,未知,http://www.e3ol.com/biography/pic/id/240/4183.jpg,http://www.e3ol.com/biography/html/王宏/,1,0
2086,宕蕈,男,宕蕈,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,少数民族,少数民族,0,未知,0,未知,守善羌侯。明帝景初二年（238），蜀阴平太守廖惇反，攻其营。,未知,http://www.e3ol.com/biography/pic/id/240/2086.jpg,http://www.e3ol.com/biography/html/宕蕈/,1,0
3607,裴宪,男,景思,？-？,史实人物,司隶河东郡闻喜(山西运城市闻喜县),裴楷,未知,裴瓒,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,裴楷子。少而颖悟，修儒学。初侍讲东宫，历黄门吏部郎、侍中。王浚承制以为尚书。永嘉末，王浚为石勒所败，枣嵩等大臣莫不谢罪军门，裴宪恬然不出。石勒素重其名。待以宾礼。署从事中郎，出为长乐太守。后为光禄大夫、司徒、太傅。,未知,http://www.e3ol.com/biography/pic/id/240/3607.jpg,http://www.e3ol.com/biography/html/裴宪/,1,0
5561,左悺,男,左悺,？-165,史实人物,司隶河南尹平阴(河南洛阳市孟津县北十公里),未知,未知,左称,未知,未知,暂无相关记载,东汉,东汉,0,未知,1,第22回,宦官。桓帝时为中常侍，封上蔡侯。专横跋扈，肆行酷烈，为司隶校尉韩演劾奏，自杀。,司空曹操，祖父中常侍腾，与左棺、徐璜并作妖孽，饕餮放横，伤化虐民。,http://www.e3ol.com/biography/pic/id/240/5561.jpg,http://www.e3ol.com/biography/html/左悺/,1,0
2964,魁头,男,魁頭,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,少数民族,少数民族,0,未知,0,未知,东汉末鲜卑人首领。,未知,http://www.e3ol.com/biography/pic/id/240/2964.jpg,http://www.e3ol.com/biography/html/魁头/,1,0
3180,刘固,男,劉固,？-？,史实人物,冀州赵国(河北邯郸市西南),未知,未知,未知,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,三国时魏官吏。,未知,http://www.e3ol.com/biography/pic/id/240/3180.jpg,http://www.e3ol.com/biography/html/刘固/,1,0
5320,甄温,男,仲舒,？-？,史实人物,冀州中山国毋极(河北石家庄市无极县西、滋水北岸),甄像,未知,甄畅|甄艳|甄韡,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,甄像之子。字仲舒。魏太和三年（229），以明帝舅氏之后受封为列侯。入晋，进为辅国大将军，加侍中，领射声校尉。,未知,http://www.e3ol.com/biography/pic/id/240/5320.jpg,http://www.e3ol.com/biography/html/甄温/,1,0
4032,孙松,男,子乔,？-231,史实人物,扬州吴郡富春(浙江杭州市富阳),孙翊,未知,未知,未知,未知,暂无相关记载,吴,吴,0,未知,0,未知,孙权之侄，孙翊之子。为人轻财好施，善与人交。陆逊、诸葛亮皆与之友善。曾任射声校尉，都乡侯。,未知,http://www.e3ol.com/biography/pic/id/240/4032.jpg,http://www.e3ol.com/biography/html/孙松/,1,0
5382,钟峻,男,鍾峻,？-？,史实人物,豫州颍川郡长社(河南许昌市长葛东北十公里。),未知,未知,未知,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,钟繇孙，为钟会所养。元帝咸熙元年（264），钟会谋叛被杀，峻下狱，当伏诛，蒙赦。,未知,http://www.e3ol.com/biography/pic/id/240/5382.jpg,http://www.e3ol.com/biography/html/钟峻/,1,0
3271,刘彦,男,劉彦,？-？,史实人物,扬州会稽郡(浙江绍兴市),未知,未知,未知,未知,未知,暂无相关记载,东汉,东汉,0,未知,0,未知,曾为交州小吏。,未知,http://www.e3ol.com/biography/pic/id/240/3271.jpg,http://www.e3ol.com/biography/html/刘彦/,1,0
4045,孙秀[西晋],男,俊忠,？-301,史实人物,徐州琅邪国琅邪(山东临沂市诸城),未知,未知,未知,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,起自瑯琊外史，以谄媚为赵王伦所宠，与伦同谋废贾后，逼惠帝禅位。司马伦僭位后，任秀为侍中、中书监。伦庸凡无能，复受制于秀。孙秀多杀忠良，黄门侍郎潘岳即被他杀。秀威权振朝廷。齐王冏等起兵讨伦，秀被杀。,未知,http://www.e3ol.com/biography/pic/id/240/4045.jpg,http://www.e3ol.com/biography/html/孙秀[西晋]/,1,0
4316,王祚,男,王祚,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,大将军司马胡奋部兵逆击，斩诞，传首，夷三族。诞麾下数百人，坐不降见斩，皆曰：“为诸葛公死，不恨。”其得人心如此。唐咨、王祚及诸裨将皆面缚降，吴兵万众，器仗军实山积。,未知,http://www.e3ol.com/biography/pic/id/240/4316.jpg,http://www.e3ol.com/biography/html/王祚/,1,0
1998,陈准,男,陳準,？-？,史实人物,豫州颍川郡许(河南许昌市东),陈佐,未知,陈戴|陈徵,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,惠帝元康中为中书令。永康元年（300）为太尉、录尚书事。封广陵郡公。,未知,http://www.e3ol.com/biography/pic/id/240/1998.jpg,http://www.e3ol.com/biography/html/陈准/,1,0
5083,张纯[吴],男,元基,？-？,史实人物,扬州吴郡(江苏苏州市),张惇,未知,张俨,未知,未知,暂无相关记载,吴,吴,0,未知,0,未知,少厉操行，学识渊博，切问捷对，容止可观，为骠骑将军朱据所赏识。拜郎中，补广德令，治有异绩，擢为太子辅义都尉，从容侍从太子孙和。孙权废太子和，纯尽言极谏，权幽之，后弃市。,未知,http://www.e3ol.com/biography/pic/id/240/5083.jpg,http://www.e3ol.com/biography/html/张纯[吴]/,1,0
4312,王子法,男,王子法,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,东汉,东汉,0,未知,0,未知,北海相孔融部下。,未知,http://www.e3ol.com/biography/pic/id/240/4312.jpg,http://www.e3ol.com/biography/html/王子法/,1,0
3142,刘班,男,劉班,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,东汉,东汉,0,未知,0,未知,灵帝时（168-189）任酒泉太守。,未知,http://www.e3ol.com/biography/pic/id/240/3142.jpg,http://www.e3ol.com/biography/html/刘班/,1,0
2861,贾疋,男,彦度,？-312,史实人物,凉州武威郡(甘肃武威市),未知,未知,未知,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,贾诩曾孙。少有志向，曾任安定太守。永嘉间，任骠骑将军、雍州刺史，封酒泉公。六年（312），刘曜陷洛阳，转攻长安，他与阎鼎等率师屡败曜军，旋奉武帝之孙、秦王司马邺为皇太子，建行台于长安。受任征西大将军。后于讨伐卢水胡首领彭天护时，夜堕于涧，为天护所杀。,未知,http://www.e3ol.com/biography/pic/id/240/2861.jpg,http://www.e3ol.com/biography/html/贾疋/,1,0
5562,左骏伯,男,左駿伯,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,吴书曰：魏遣使者傅容、聂夔拜渊为乐浪公。渊计吏从洛阳还，语渊曰：“使者左骏伯，使皆择勇力者，非凡人也。”,未知,http://www.e3ol.com/biography/pic/id/240/5562.jpg,http://www.e3ol.com/biography/html/左骏伯/,1,0
3221,刘普,男,劉普,？-？,史实人物,扬州九江郡成德(安徽六安市寿县南),未知,未知,未知,未知,刘晔,暂无相关记载,东汉,东汉,0,未知,0,未知,魏大臣刘晔父，东汉宗室。,未知,http://www.e3ol.com/biography/pic/id/240/3221.jpg,http://www.e3ol.com/biography/html/刘普/,1,0
3016,李郃,男,孟节,？-？,史实人物,益州汉中郡南郑(陕西汉中市),未知,未知,未知,未知,未知,暂无相关记载,东汉,东汉,0,未知,0,未知,少游太学，与镡粲、张浩、张霸共结友善。通五经，善《河图》、《洛书》、风角占星之术。初为县幕门候吏，所言多应验。后举孝廉，历尚书令、太常。安帝元初四年（117），为司空，数陈得失。以司徒致仕，年八十余卒于家中。,未知,http://www.e3ol.com/biography/pic/id/240/3016.jpg,http://www.e3ol.com/biography/html/李郃/,1,0
4191,王嘉,男,王嘉,？-？,史实人物,暂无相关记载,王琰,未知,未知,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,上洛都尉王琰子。嘉仕历诸县，后为散骑郎、冯翊郡中正。,未知,http://www.e3ol.com/biography/pic/id/240/4191.jpg,http://www.e3ol.com/biography/html/王嘉/,1,0
3167,刘敦,男,劉敦,？-？,史实人物,暂无相关记载,刘协,未知,刘懿|刘曼|刘熙[刘协子],未知,未知,暂无相关记载,东汉,东汉,0,未知,0,未知,东汉献帝刘协第四子。建安十七年（212）九月，受封为东海王。二十五年，献帝禅位，曹丕称帝，建立魏国，敦随之由王降为列侯。,未知,http://www.e3ol.com/biography/pic/id/240/3167.jpg,http://www.e3ol.com/biography/html/刘敦/,1,0
2286,费承,男,費承,？-？,史实人物,荆州江夏郡[魏]鄳(河南信阳市罗山县西南),费祎,未知,费恭|费氏[刘璿妻],未知,未知,暂无相关记载,蜀,蜀,0,未知,0,未知,费祎之子。祎卒，承嗣爵，为黄门侍郎。,未知,http://www.e3ol.com/biography/pic/id/240/2286.jpg,http://www.e3ol.com/biography/html/费承/,1,0
2153,董艾,男,董艾,？-？,史实人物,司隶弘农郡弘农(河南灵宝市黄河南岸),董绥,未知,未知,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,董遇之孙。齐王冏部下。,未知,http://www.e3ol.com/biography/pic/id/240/2153.jpg,http://www.e3ol.com/biography/html/董艾/,1,0
2302,冯纯,男,馮純,？-？,史实人物,暂无相关记载,冯朝,未知,未知,左夫人,未知,暂无相关记载,吴,吴,0,未知,0,未知,张布婿，卫尉冯朝子。其妻为吴末帝孙皓所夺，拜为左夫人。,未知,http://www.e3ol.com/biography/pic/id/240/2302.jpg,http://www.e3ol.com/biography/html/冯纯/,1,1
5140,张夔,男,張夔,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,孙皓末年，任太常。吴降晋时，以夔奉皓所佩印绶至晋营请降。,未知,http://www.e3ol.com/biography/pic/id/240/5140.jpg,http://www.e3ol.com/biography/html/张夔/,1,0
2025,程喜,男,申伯,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,明帝时为青州刺史，齐王芳时为征北将军。,未知,http://www.e3ol.com/biography/pic/id/240/2025.jpg,http://www.e3ol.com/biography/html/程喜/,1,0
5498,朱贞,男,朱貞,？-245,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,吴,吴,0,未知,0,未知,赤乌中兼符节令，八年（245）与将军马茂等图谋收缚公卿诸将，引兵入苑中击孙权，反叛降魏。事泄被杀，夷三族。,未知,http://www.e3ol.com/biography/pic/id/240/5498.jpg,http://www.e3ol.com/biography/html/朱贞/,1,0
3519,明德皇后,女,明德皇后,？-？,史实人物,暂无相关记载,马援,未知,未知,刘庄,未知,暂无相关记载,东汉,东汉,0,未知,0,未知,东汉明帝皇后。马氏，亦称明德皇后、明德太后、马太后、马贵人。伏波将军援之小女。知书识理，谦肃恭俭。十三岁选入太子宫。明帝初拜为贵人，永平三年（60），立为皇后。常论政事，宠敬日隆，始终无衰。章帝即位，尊为皇太后，谦虚俭约至终。享年四十余，合葬显节陵。,未知,http://www.e3ol.com/biography/pic/id/240/3519.jpg,http://www.e3ol.com/biography/html/明德皇后/,1,1
5733,崔夫人,女,崔夫人,？-？,史实人物,暂无相关记载,未知,未知,未知,刘谌,未知,暂无相关记载,蜀,蜀,1,公元263年,1,第118回,蜀汉北地王刘谌之妻，正史无记载。,蜀汉北地王刘谌之妻。刘谌因力劝刘禅出战不成而欲自杀，崔夫人得知此事后，先于丈夫自杀。,http://www.e3ol.com/biography/pic/id/240/5733.jpg,http://www.e3ol.com/biography/html/崔夫人/,1,1
3744,阮浑,男,长成,？-？,史实人物,兖州陈留郡(河南开封市东南),阮籍,未知,未知,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,阮籍之子。以闲淡寡欲，知名京都。太康中，为太子庶子。早亡。,未知,http://www.e3ol.com/biography/pic/id/240/3744.jpg,http://www.e3ol.com/biography/html/阮浑/,1,0
3877,司马颙,男,文载,？-306,史实人物,司隶河内郡温(河南焦作市温县西),司马瑰,未知,未知,未知,未知,暂无相关记载,西晋,西晋,0,未知,0,未知,司马懿弟安平献王孚孙，太原王环子。初袭父爵，咸宁三年（277）受封河间王。颙少有清名，轻财爱士。惠帝元康初，为北中郎将，监邺城，后任平西将军，镇关中。“八王之乱”中，参与讨伐赵王伦；又与成都王颖合谋攻打齐王冏、长沙王乂，使混战规模不断扩大。永兴元年（304），遣部下张方劫惠帝至长安，与东海王越争权，败后，为南阳王模所杀。,未知,http://www.e3ol.com/biography/pic/id/240/3877.jpg,http://www.e3ol.com/biography/html/司马颙/,1,0
19,赵云,男,子龙,？-229,史实人物,冀州常山国真定(河北石家庄市正定县南),未知,未知,未知,马云騄,赵统|赵广,镇军将军|永昌亭侯|谥曰顺平侯,蜀,蜀|袁绍,23,公元192年|公元194年|公元200年|公元201年|公元202年|公元206年|公元207年|公元208年|公元209年|公元210年|公元211年|公元214年|公元217年|公元218年|公元219年|公元221年|公元222年|公元223年|公元224年|公元225年|公元227年|公元228年|公元229年,51,第7回|第11回|第21回|第28回|第31回|第34回|第35回|第36回|第39回|第40回|第41回|第42回|第43回|第45回|第49回|第50回|第51回|第52回|第53回|第54回|第55回|第56回|第57回|第60回|第61回|第63回|第64回|第65回|第70回|第71回|第72回|第73回|第77回|第80回|第81回|第83回|第84回|第85回|第86回|第87回|第88回|第89回|第90回|第91回|第92回|第93回|第94回|第95回|第96回|第97回|第110回,以英勇善战、一身是胆著称。初为本郡所举，将义从吏兵诣公孙瓒。时袁绍称冀州牧，瓒深忧州人之从绍也，善云来附，遂与瓒征讨。时先主亦依讬瓒，每接纳云，云得深自结讬。瓒遣先主为田楷拒袁绍，云遂随从，为先主主骑。云以兄丧，辞瓒暂归，先主知其不反，捉手而别，云辞曰：“终不背德也。”先主就袁绍，云见于邺。先主与云同床眠卧，密遣云合募得数百人，皆称刘左将军部曲，绍不能知。遂随先主至荆州。夏侯惇战于博望，生获夏侯兰。兰是云乡里人，少小相知，云白先主活之，荐兰明于法律，以为军正。及先主为曹公所追于当阳长阪，弃妻子南走，云身抱弱主，保护甘夫人，皆得免难。迁为牙门将军。先主入蜀，云留荆州。从平江南，以为偏将军，领桂阳太守，代赵范。范寡嫂曰樊氏，有国色，范欲以配云。云固辞不许。先主入益州，云领留营司马。时先主孙夫人欲将后主还吴，云与张飞勒兵截江，乃得后主还。先主自葭萌还攻刘璋，召诸葛亮。亮率云与张飞等俱溯江西上，平定郡县。至江州，分遣云从外水上江阳，与亮会于成都。成都既定，以云为翊军将军。孙权袭荆州，先主大怒，欲讨权。云谏止，不从。乃留云督江州。先主失利于秭归，云进兵至永安，吴军已退。建兴元年，为中护军、征南将军，封永昌亭侯，迁镇东将军。五年，随诸葛亮驻汉中。明年，亮出军，扬声由斜谷道，曹真遣大众当之。亮令云与邓芝往拒，而身攻祁山。云、芝兵弱敌强，失利于箕谷，然敛众固守，不至大败。军退，贬为镇军将军。七年卒，追谥顺平侯。,初为袁绍将，后见绍不仁，于磐河战退绍将文丑，救瓒并投之。后又刺杀麹义。先主依讬瓒，云与之为田楷拒袁绍。后与先主执手泣别。后瓒败，云流浪卧牛山，与先主见，投之。当阳长阪恶战，云怀抱幼主，七进七出，杀曹军五十余将。先主娶孙夫人，云相随。及征蜀，云随诸葛亮、张飞等人沿江而上。及蜀平，又往征汉中，退曹大军。关羽亡，先主怒欲伐吴，云劝止，不从。后先主崩，云随亮南征、北伐，单骑退追兵。七年卒，后主哭倒于龙床上，谥云顺平侯、追大将军。,http://www.e3ol.com/biography/pic/id/240/19.jpg,http://www.e3ol.com/biography/html/赵云/,2,1
312,卢植,男,子干,？-192,史实人物,幽州涿郡涿(河北保定市涿州),未知,未知,未知,未知,卢毓,北中郎将 尚书,东汉,东汉|董卓|袁绍,3,公元184年|公元189年,3,第1回|第2回|第3回,身长八尺二寸，音声如钟。性刚毅有大节，常怀济世志，少与郑玄师从马融，通古今学，为当时大儒。著《尚书章句》、《三礼解诂》。州郡数辟，植皆不就。灵帝时，仕为博士，因才兼文武，拜庐江太守，还拜议郎。后任侍中，迁尚书。光和元年，上疏谏政，陈八事，帝不纳。黄巾起，植任北中郎，率军镇压，受左丰诋黜官，后又复尚书事。谏朝为董卓怒，免官，隐居上谷，袁绍辟为军师。初平三年卒。,卢植为汉末大儒，名望远闻于时。刘备曾经从师于他。黄巾起义，卢植奉命镇压，拒敌于广宗，未见胜负，因拒绝黄门左丰索要贿赂，而被诬陷罢职问罪。何进招董卓进京诛宦臣。卢植力谏，何进不听。于是辞官而去。董卓得政后，卢植又复职，谏阻董卓废陈留王立献帝。,http://www.e3ol.com/biography/pic/id/240/312.jpg,http://www.e3ol.com/biography/html/卢植/,3,0
2092,邓辅,男,鄧輔,？-？,史实人物,益州汉中郡房陵(湖北十堰市房县),未知,未知,未知,未知,未知,暂无相关记载,蜀,蜀,0,未知,0,未知,逊遣将军李异、谢旌等将三千人，攻蜀将詹晏、陈凤。异将水军，旌将步兵，断绝险要，即破晏等，生降得凤。又攻房陵太守邓辅、南乡太守郭睦，大破之。秭归大姓文布、邓凯等合夷兵数千人，首尾西方。,未知,http://www.e3ol.com/biography/pic/id/240/2092.jpg,http://www.e3ol.com/biography/html/邓辅/,1,0
5067,张白,男,張白,？-？,史实人物,扬州吴郡吴(江苏苏州市),张允[吴],未知,未知,陆郁生,未知,暂无相关记载,吴,吴,0,未知,0,未知,张温之弟，有才名。温以触怒孙权而废，白亦不为所用。,未知,http://www.e3ol.com/biography/pic/id/240/5067.jpg,http://www.e3ol.com/biography/html/张白/,1,1
5530,祝奥,男,祝奥,？-？,史实人物,暂无相关记载,未知,未知,未知,未知,未知,暂无相关记载,起义军,起义军,0,未知,0,未知,东汉末义军首领郭援的谋士。曾中贾逵之计，劝援缓攻皮氏七日，延误了战机。,未知,http://www.e3ol.com/biography/pic/id/240/5530.jpg,http://www.e3ol.com/biography/html/祝奥/,1,0
4700,荀衢,男,荀衢,？-？,史实人物,豫州颍川郡颍阳(河南许昌市襄城县东北),荀昙,未知,未知,未知,荀祈,暂无相关记载,东汉,东汉,0,未知,0,未知,荀昙之子，荀攸叔父。昙卒，故吏张权求守墓，攸以为有奸，告衢。衢感悟，推问张权，果杀人亡命。衢由是对攸刮目相看。,未知,http://www.e3ol.com/biography/pic/id/240/4700.jpg,http://www.e3ol.com/biography/html/荀衢/,1,0
2480,管邈,男,管邈,？-？,史实人物,青州北海国朱虚(山东潍坊市临朐县东南三十公里),管宁,未知,未知,未知,未知,暂无相关记载,魏,魏,0,未知,0,未知,管宁之子。拜郎中，后为博士。,未知,http://www.e3ol.com/biography/pic/id/240/2480.jpg,http://www.e3ol.com/biography/html/管邈/,1,0
